"logIndex","timestamp","status","PackTemp","PackTemp-l","PackSOC","Vpack","MotAmps","BattAmps","Mods","MotTemp","CtrlTemp","MotRPM","0Module00DisconnectingHPmodvolt","0Module01DisconnectingHPmodvolt","0Module01Registeredmodvolt","0Module00Registeredmodvolt","minsys","diff"
2665,1403703973000,"Riding","17C","16C","95%","115.518V","0","2","11","24C","19C","0",,,,,,
2666,1403703976000,"Riding","17C","16C","95%","115.516V","0","2","11","24C","19C","0",,,,,,
2667,1403703979000,"Riding","17C","16C","95%","115.519V","0","2","11","24C","19C","0",,,,,,
2668,1403703982000,"Riding","17C","16C","95%","115.520V","0","2","11","24C","19C","0",,,,,,
2669,1403703985000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2670,1403703988000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2671,1403703991000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2672,1403703994000,"Riding","17C","16C","95%","115.513V","0","2","11","24C","19C","0",,,,,,
2673,1403703997000,"Riding","17C","16C","95%","115.516V","0","2","11","24C","19C","0",,,,,,
2674,1403704000000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2675,1403704003000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2676,1403704006000,"Riding","17C","16C","95%","115.515V","0","2","11","24C","19C","0",,,,,,
2677,1403704009000,"Riding","17C","16C","95%","115.515V","0","2","11","24C","19C","0",,,,,,
2678,1403704012000,"Riding","17C","16C","95%","115.516V","0","2","11","24C","19C","0",,,,,,
2679,1403704015000,"Riding","17C","16C","95%","115.515V","0","2","11","24C","19C","0",,,,,,
2680,1403704018000,"Riding","17C","16C","95%","115.518V","0","2","11","24C","19C","0",,,,,,
2681,1403704021000,"Riding","17C","16C","95%","115.516V","0","2","11","24C","19C","0",,,,,,
2682,1403704024000,"Riding","17C","16C","95%","115.517V","0","1","11","24C","19C","0",,,,,,
2683,1403704027000,"Riding","17C","16C","95%","115.514V","0","2","11","24C","19C","0",,,,,,
2684,1403704030000,"Riding","17C","16C","95%","115.514V","0","2","11","24C","19C","0",,,,,,
2685,1403704033000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2686,1403704036000,"Riding","17C","16C","95%","115.519V","0","2","11","24C","19C","0",,,,,,
2687,1403704039000,"Riding","17C","16C","95%","115.517V","0","2","11","24C","19C","0",,,,,,
2688,1403704042000,"Riding","17C","16C","95%","115.514V","0","2","11","24C","19C","0",,,,,,
2689,1403704045000,"Riding","17C","16C","95%","115.513V","0","2","11","24C","19C","0",,,,,,
2690,1403704048000,"Riding","17C","16C","95%","115.517V","0","2","11","23C","19C","0",,,,,,
2691,1403704051000,"Riding","17C","16C","95%","115.509V","0","2","11","23C","19C","0",,,,,,
2692,1403704054000,"Riding","17C","16C","95%","115.512V","0","2","11","24C","19C","0",,,,,,
2693,1403704057000,"Riding","17C","16C","95%","115.512V","0","2","11","24C","19C","0",,,,,,
2694,1403704060000,"Riding","17C","16C","95%","115.513V","0","2","11","24C","19C","0",,,,,,
2695,1403704063000,"Riding","17C","16C","95%","115.516V","0","2","11","24C","19C","0",,,,,,
2696,1403704066000,"Riding","17C","16C","95%","115.511V","0","2","11","24C","19C","0",,,,,,
2697,1403704069000,"Riding","17C","16C","95%","115.511V","0","2","11","24C","19C","0",,,,,,
2698,1403704072000,"Riding","17C","16C","95%","115.515V","0","2","11","24C","19C","0",,,,,,
2699,1403704075000,"Riding","17C","16C","95%","115.511V","0","2","11","24C","19C","0",,,,,,
2700,1403704078000,"Riding","17C","16C","95%","115.507V","0","2","11","24C","19C","0",,,,,,
2701,1403704081000,"Riding","17C","16C","95%","115.510V","0","2","11","24C","19C","0",,,,,,
2702,1403704084000,"Riding","17C","16C","95%","115.510V","0","2","11","24C","19C","0",,,,,,
2703,1403704087000,"Riding","17C","16C","95%","115.510V","0","2","11","24C","19C","0",,,,,,
2704,1403704090000,"Riding","17C","16C","95%","115.512V","0","1","11","24C","19C","0",,,,,,
2705,1403704093000,"Riding","17C","16C","95%","115.508V","0","2","11","24C","19C","0",,,,,,
2706,1403704096000,"Riding","17C","16C","95%","115.513V","0","2","11","24C","19C","0",,,,,,
2707,1403704099000,"Riding","17C","16C","95%","115.510V","0","2","11","24C","19C","0",,,,,,
2708,1403704102000,"Riding","17C","16C","95%","115.509V","0","2","11","24C","19C","0",,,,,,
2709,1403704105000,"Riding","17C","16C","95%","115.507V","0","2","11","24C","19C","0",,,,,,
2710,1403704108000,"Riding","17C","16C","95%","115.509V","0","2","11","24C","19C","0",,,,,,
2711,1403704111000,"Riding","17C","16C","95%","115.509V","0","2","11","24C","19C","0",,,,,,
2712,1403704114000,"Riding","17C","16C","95%","115.508V","0","2","11","24C","19C","0",,,,,,
2713,1403704117000,"Riding","17C","16C","95%","115.507V","0","2","11","24C","19C","0",,,,,,
2714,1403704120000,"Riding","17C","16C","95%","115.508V","0","2","11","24C","19C","0",,,,,,
2715,1403704123000,"Riding","17C","16C","95%","115.505V","0","2","11","24C","19C","0",,,,,,
2716,1403704126000,"Riding","17C","16C","95%","115.506V","0","2","11","24C","19C","0",,,,,,
2717,1403704129000,"Riding","17C","16C","95%","115.506V","0","2","11","23C","19C","0",,,,,,
2718,1403704132000,"Riding","17C","16C","95%","115.509V","0","2","11","23C","19C","0",,,,,,
2719,1403704135000,"Riding","17C","16C","95%","115.509V","0","2","11","23C","19C","0",,,,,,
2720,1403704138000,"Riding","17C","16C","95%","115.509V","0","2","11","23C","19C","0",,,,,,
2721,1403704141000,"Riding","17C","16C","95%","115.508V","0","2","11","23C","19C","0",,,,,,
2722,1403704144000,"Riding","17C","16C","95%","115.507V","0","2","11","24C","19C","0",,,,,,
2723,1403704147000,"Riding","17C","16C","95%","115.504V","0","2","11","24C","19C","0",,,,,,
2724,1403704150000,"Riding","17C","16C","95%","115.509V","0","2","11","23C","19C","0",,,,,,
2725,1403704153000,"Riding","17C","16C","95%","115.508V","0","2","11","23C","19C","0",,,,,,
2726,1403704156000,"Riding","17C","16C","95%","115.507V","0","2","11","23C","19C","0",,,,,,
2727,1403704159000,"Riding","17C","16C","95%","115.504V","0","2","11","24C","19C","0",,,,,,
2728,1403704162000,"Riding","17C","16C","95%","115.504V","0","2","11","23C","19C","0",,,,,,
2729,1403704165000,"Riding","17C","16C","95%","115.509V","0","2","11","24C","19C","0",,,,,,
2730,1403704168000,"Riding","17C","16C","95%","115.505V","0","2","11","23C","19C","0",,,,,,
2731,1403704171000,"Riding","17C","16C","95%","115.509V","0","2","11","23C","19C","0",,,,,,
2732,1403704174000,"Riding","17C","16C","95%","115.506V","0","2","11","24C","19C","0",,,,,,
2733,1403704177000,"Riding","17C","16C","95%","115.505V","0","2","11","24C","19C","0",,,,,,
2734,1403704180000,"Riding","17C","16C","95%","115.505V","0","2","11","23C","19C","0",,,,,,
2735,1403704183000,"Riding","17C","16C","95%","115.506V","0","2","11","23C","19C","0",,,,,,
2736,1403704186000,"Riding","17C","16C","95%","115.506V","0","2","11","23C","19C","0",,,,,,
2737,1403704189000,"Riding","17C","16C","95%","115.504V","0","2","11","23C","19C","0",,,,,,
2738,1403704192000,"Riding","17C","16C","95%","115.498V","0","2","11","23C","19C","0",,,,,,
2739,1403704195000,"Riding","17C","16C","95%","115.502V","0","2","11","24C","19C","0",,,,,,
2740,1403704198000,"Riding","17C","16C","95%","115.502V","0","2","11","23C","19C","0",,,,,,
2741,1403704201000,"Riding","17C","16C","95%","115.506V","0","2","11","24C","19C","0",,,,,,
2742,1403704204000,"Riding","17C","16C","95%","115.507V","0","2","11","24C","19C","0",,,,,,
2743,1403704207000,"Riding","17C","16C","95%","115.501V","0","2","11","24C","19C","0",,,,,,
2744,1403704210000,"Riding","17C","16C","95%","115.503V","0","2","11","24C","19C","0",,,,,,
2745,1403704213000,"Riding","17C","16C","95%","115.501V","0","2","11","23C","19C","0",,,,,,
